time,num_0,CPU_usage_0,RAM_usage_0,num_1,CPU_usage_1,RAM_usage_1,num_2,CPU_usage_2,RAM_usage_2
0,563301.0,7816.482828330522,9263.460481689484,30403.0,1509.3862249997119,696.3827489697218,2634.0,43.238508800000076,32.98377740000017
1,540718.0,7649.302696336186,8971.120645880916,26991.0,1847.2342129999333,790.5599140000344,480.0,23.567132099999945,22.63608460000004
2,300387.0,4455.832203574399,5118.013763408342,51627.0,1853.5367358986455,965.2940759693457,622.0,27.005333499999832,10.476981399999907
3,430892.0,5789.987291756086,7000.675247648215,26904.0,1391.7345339999429,666.2485909997201,1081.0,69.07920239999964,41.145386600000116
4,353356.0,4810.9711828690915,5783.165545622531,48635.0,2134.9109374001287,931.3061579696138,403.0,19.811264199999954,9.956835399999989
5,610004.0,7936.914002724031,9859.17253550427,29384.0,1522.5303139999123,689.641566999692,504.0,25.04729999999994,16.086453599999984
6,637176.0,8284.649383225982,10292.407417513326,25863.0,1232.204403500044,671.5332209799063,654.0,33.138115699999986,19.473494400000067
7,606001.0,8022.006446026591,9781.440189501056,44228.0,1536.3650796001748,987.1796639892028,683.0,36.99558030000006,19.88815110000002
8,214721.0,4215.973672493186,4068.132224796551,40571.0,2461.311625399949,1181.0183489694923,836.0,43.03585509999999,28.053498200000057
9,39186.0,1783.7419281000014,1279.2827384000514,73995.0,2750.0282479996295,1685.252616,906.0,58.661225199999464,41.82757230000014
10,38007.0,1954.0933768000305,1258.074748799771,40933.0,1991.461269499917,1729.503529969898,1380.0,73.59263210000053,49.951500900000525
11,34734.0,1805.6833878999798,1091.5974801998225,42640.0,2285.4749622999684,2131.5275728004767,569.0,28.45555310000006,12.356963600000014
12,28325.0,1231.0506823001494,777.0883807997812,29228.0,1948.623775800036,1054.5124827696202,413.0,19.279533699999977,13.89627540000001
13,22270.0,1169.7098567000296,641.9755161997784,26597.0,1555.861170000054,921.4945159995768,311.0,13.908222399999996,8.08737059999999
14,24234.0,1314.012561599978,721.26163619981,32897.0,1983.6653632000034,1162.2002803694868,427.0,21.16651219999992,7.4797445999999725
15,19934.0,1022.8904932000522,571.8726043998594,27218.0,1733.0548766000356,967.6490959995976,984.0,53.06028000000031,11.208197600000078
16,60583.0,1964.1896024013697,1672.457124599373,45346.0,2145.6829516992466,1342.4134999691696,3078.0,176.63313099999993,67.95481840000049
17,42764.0,1738.7094275001477,1347.162822300117,33800.0,1712.4816459996023,1207.6386689999115,1549.0,90.90444699999999,12.941569600000241
18,27526.0,806.8156622999408,875.0208967996765,27554.0,1321.852934500081,903.0539119996976,1813.0,76.14841709999979,56.270590900000784
19,34530.0,1130.6534435000362,924.7010214541873,35971.0,2053.288798599909,1442.1202909694593,956.0,48.27961420000022,17.73359760000009
20,35343.0,1614.9759181998425,965.8605614443118,32939.0,1861.3388744998065,1070.103300969432,440.0,18.569348399999967,9.26759419999999
21,43886.0,2295.4963306000595,1627.0358337796938,62173.0,3675.758169999835,4530.840672001369,461.0,24.437748399999954,16.97197130000002
22,56105.0,2874.9221332998472,2023.5021586002065,34026.0,2026.1710241999178,1195.0046269694215,1423.0,83.04528379999859,49.677544099999785
23,27808.0,1359.248982799964,839.7687093798334,29425.0,1962.3946673000007,1058.084034999541,475.0,23.530378799999962,7.949702899999941
24,37080.0,1539.0627516004106,873.2889178999694,33178.0,2153.2186989999573,1149.9081739695478,595.0,36.77786839999982,21.895815600000017
25,35701.0,1284.4035987003447,1438.8035465799217,23180.0,1417.7860450000276,764.2717579997076,410.0,21.20660370000001,8.200290400000004
26,29873.0,1345.590914900032,1607.1185863997532,37083.0,1789.0500721999078,1168.4220889695255,1335.0,68.9894150000002,40.27866659999985
27,57049.0,2775.937350000152,2293.973826799894,33189.0,1807.4967753001033,1213.7251219996042,922.0,62.34406280000031,32.72710880000021
28,28627.0,1207.438494999966,956.4515738999227,40513.0,2171.714707999503,1224.2877389691955,1489.0,104.84042140000003,51.88295559999964
